Ordem Pedido;Loja;Tempo de Entrega;Devolução
7077;Físico;;Não
117;Físico;;Não
7018;Físico;;Não
140;Físico;;Não
491;Lazada;4;Não
58;Alibaba;2;Sim
7085;SnapDeal;9;Sim
929;Alibaba;2;Sim
1527;Qoo10;20;Não
7264;Qoo10;22;Sim
1471;Lazada;25;Não
845;Kaola;15;Não
7144;SnapDeal;12;Sim
1160;Rakuten;10;Não
619;Rakuten;7;Não
625;Rakuten;7;Não
523;SnapDeal;10;Não
879;GittiGidiyor;9;Não
7409;Qoo10;1;Não
1170;Alibaba;10;Sim
1154;GittiGidiyor;10;Não
1572;GittiGidiyor;10;Não
7548;GittiGidiyor;10;Não
7056;AliExpress;7;Não
657;GittiGidiyor;8;Não
7059;TaooMall;7;Não
969;Alibaba;2;Não
7061;Kaola;13;Não
7740;Lazada;18;Não
7605;Alibaba;9;Não
7069;AliExpress;9;Não
1755;SnapDeal;11;Não
7119;Físico;;Não
689;Físico;;Não
7015;Físico;;Não
7020;Físico;;Não
698;Físico;;Não
7043;Físico;;Não
7080;Físico;;Não
7052;Físico;;Não
7022;Físico;;Não
1260;Tesco;17;Sim
7084;eshop europa;9;Não
7728;Rewe;13;Não
416;Aldi;13;Não
273;eshop europa;9;Sim
837;Amazon;12;Não
407;Aldi;10;Sim
6990;eshop europa;8;Não
7339;eshop europa;7;Não
161;Rewe;7;Não
7045;Tesco;8;Não
840;Tesco;18;Não
7410;E.Leclerc;19;Não
7280;Físico;;Não
7682;Físico;;Não
1472;Físico;;Não
931;Físico;;Não
680;Físico;;Não
7374;Físico;;Não
329;Físico;;Não
1501;Físico;;Não
7327;Físico;;Não
6983;Físico;;Não
7088;Físico;;Não
890;Físico;;Não
7109;Físico;;Não
939;Físico;;Não
7338;Físico;;Não
1337;Físico;;Não
7261;Físico;;Não
722;Físico;;Não
7073;Físico;;Não
995;Físico;;Não
1259;Físico;;Não
374;Craiglist;7;Não
7101;Amazon;18;Não
1147;Etsy;28;Não
1344;HomeDepot;14;Não
7095;Lowe's;18;Não
1051;Walmart;13;Não
7111;Craiglist;1;Não
7221;Lowe's;9;Não
552;HomeDepot;6;Não
7550;Wish;8;Não
6999;Wish;10;Não
7003;Target;19;Não
7008;HomeDepot;30;Não
7016;Amazon;13;Sim
1518;Amazon;9;Não
61;Craiglist;3;Não
7057;Wish;9;Não
1588;Wish;7;Não
1142;Amazon;8;Não
7517;Amazon;14;Não
1707;BestBuy;2;Sim
6995;Físico;;Não
878;Físico;;Não
7030;Físico;;Não
7036;Físico;;Não
6977;Físico;;Não
536;Físico;;Não
347;Físico;;Não
7482;Físico;;Não
7393;Físico;;Não
7074;Físico;;Não
7248;Físico;;Sim
7443;Físico;;Sim
7249;Físico;;Não
543;Físico;;Sim
7644;Físico;;Não
729;Físico;;Sim
7104;Físico;;Não
6996;Físico;;Não
7078;Físico;;Não
104;Físico;;Sim
7647;Físico;;Não
7082;Físico;;Não
7099;Físico;;Não
1127;Físico;;Não
126;Físico;;Não
1627;Físico;;Não
7001;Físico;;Não
1761;Físico;;Não
7019;Físico;;Não
7106;Físico;;Não
7580;Físico;;Não
7337;Físico;;Não
7160;Físico;;Não
313;Físico;;Não
7023;Físico;;Não
7739;Físico;;Não
7000;Físico;;Não
7002;Físico;;Não
7007;Físico;;Não
10;Físico;;Não
7055;Físico;;Não
1616;Físico;;Não
7469;Físico;;Não
7096;Físico;;Não
7089;Físico;;Não
7079;Físico;;Não
7087;Físico;;Não
7097;Físico;;Não
133;Físico;;Não
1611;Físico;;Não
539;Físico;;Não
7118;Físico;;Não
7122;Físico;;Não
6993;Físico;;Não
6994;Físico;;Não
7004;Físico;;Sim
7423;Físico;;Não
941;Físico;;Não
7048;Físico;;Não
930;Físico;;Sim
7062;Físico;;Não
510;Físico;;Não
7561;Físico;;Não
78;Físico;;Não
392;Físico;;Não
946;Físico;;Não
153;Físico;;Não
581;Físico;;Não
1356;Físico;;Não
1042;Físico;;Não
1379;Físico;;Não
7032;Físico;;Não
7092;Físico;;Não
508;Físico;;Não
7154;Físico;;Não
1538;Físico;;Não
7346;Físico;;Não
7075;Físico;;Não
7103;Físico;;Não
7100;Físico;;Não
155;Físico;;Não
7483;Físico;;Não
